id,display_name,description,field,domain,works_count,cited_by_count
subfields/2739,"Public Health, Environmental and Occupational Health","science and art of preventing disease, prolonging life and promoting health through organized efforts and informed choices of society, organizations, public and private, communities and individuals",Medicine,Health Sciences,4295428,34719199
subfields/1211,Philosophy,"study of the truths and principles of being, knowledge, or conduct",Arts and Humanities,Social Sciences,3940807,9244096
subfields/1105,"Ecology, Evolution, Behavior and Systematics",scientific study of the relationships between living organisms,Agricultural and Biological Sciences,Life Sciences,3890989,18311703
subfields/1311,Genetics,"science of genes, heredity, and variation in living organisms","Biochemistry, Genetics and Molecular Biology",Life Sciences,3845900,41291180
subfields/2713,Epidemiology,"study of the patterns, causes, and effects of health and disease conditions",Medicine,Health Sciences,3790339,46863495
subfields/2740,Pulmonary and Respiratory Medicine,"branch of medicine concerned with the diagnosis, treatment, and prevention of diseases affecting the lungs and respiratory system, including asthma, COPD, and pulmonary infections",Medicine,Health Sciences,3786835,40533720
subfields/2735,"Pediatrics, Perinatology and Child Health",field of medicine dealing with the care of children,Medicine,Health Sciences,3758592,14562093
subfields/2303,Ecology,scientific study of the relationships between living organisms,Environmental Science,Physical Sciences,3604608,33162642
subfields/1605,Organic Chemistry,"subdiscipline within chemistry involving the scientific study of carbon-based compounds, hydrocarbons, and their derivatives",Chemistry,Physical Sciences,3559359,39401887
subfields/3203,Clinical Psychology,integration of science and clinical knowledge for the purpose of relieving psychologically based dysfunction,Psychology,Social Sciences,3151405,31664725
subfields/1204,Archeology,study of the past via material culture,Arts and Humanities,Social Sciences,3132722,5205737
subfields/2205,Civil and Structural Engineering,"engineering discipline specializing in design, construction and maintenance of the built environment",Engineering,Physical Sciences,2909186,19322228
subfields/1408,Strategy and Management,high-level plan to achieve objectives in uncertain conditions,"Business, Management and Accounting",Social Sciences,2803242,17369898
subfields/3308,Law,"system of rules and guidelines, generally backed by governmental authority",Social Sciences,Social Sciences,2797758,3900578
subfields/1705,Computer Networks and Communications,network that allows computers to share resources and communicate with each other,Computer Science,Physical Sciences,2794489,22506500
subfields/2207,Control and Systems Engineering,"engineering discipline that applies control theory to design systems with desired behaviors, focusing on the development and implementation of control systems in machinery, processes, and automation",Engineering,Physical Sciences,2762757,19640864
subfields/3207,Social Psychology,"scientific study of social effects on people's thoughts, feelings, and behaviors",Psychology,Social Sciences,2760114,28702728
subfields/1203,Language and Linguistics,structured system of communication,Arts and Humanities,Social Sciences,2721125,9673092
subfields/3314,Anthropology,"scientific study of humans, human behavior, and societies",Social Sciences,Social Sciences,2707001,7588412
subfields/2308,"Management, Monitoring, Policy and Law","system of rules and guidelines, generally backed by governmental authority",Environmental Science,Physical Sciences,2542304,8094118
subfields/3316,Cultural Studies,academic field of critical theory and literary criticism,Social Sciences,Social Sciences,2521214,3936502
subfields/2730,Oncology,branch of medicine dealing with cancer,Medicine,Health Sciences,2492540,40516067
subfields/1707,Computer Vision and Pattern Recognition,computerized information extraction from images,Computer Science,Physical Sciences,2475546,28798929
subfields/2737,Physiology,science regarding function of organisms or living systems,Medicine,Health Sciences,2463239,40449367
subfields/2306,Global and Planetary Change,planetary-scale changes in the Earth system,Environmental Science,Physical Sciences,2445276,28604251
subfields/2705,Cardiology and Cardiovascular Medicine,branch of medicine dealing with disorders of the heart as well as parts of the circulatory system,Medicine,Health Sciences,2399010,31845570
subfields/2741,"Radiology, Nuclear Medicine and Imaging",specialty that uses medical imaging to diagnose and treat diseases seen within the body,Medicine,Health Sciences,2256126,24872602
subfields/2206,Computational Mechanics,discipline concerned with the use of computational methods to study mechanics,Engineering,Physical Sciences,2098765,19389188
subfields/1106,Food Science,applied science devoted to the study of food,Agricultural and Biological Sciences,Life Sciences,2067140,16808321
subfields/2211,Mechanics of Materials,behavior of solid objects subject to stresses and strains,Engineering,Physical Sciences,2065525,19523151
subfields/2805,Cognitive Neuroscience,scientific field concerned with cognition,Neuroscience,Life Sciences,1969194,39501230
subfields/2736,Pharmacology,branch of biology concerning drugs,Medicine,Health Sciences,1927987,16780307
subfields/1402,Accounting,"measurement, processing and communication of financial information about economic entities","Business, Management and Accounting",Social Sciences,1917191,10899460
subfields/1908,Geophysics,study of physical processes and phenomena occurring in the earth and in its vicinity,Earth and Planetary Sciences,Physical Sciences,1747236,18693240
subfields/1902,Atmospheric Science,umbrella term for the study of the atmosphere,Earth and Planetary Sciences,Physical Sciences,1744909,22426527
subfields/2212,Ocean Engineering,engineering of devices within the ocean environment,Engineering,Physical Sciences,1655379,8648465
subfields/2725,Infectious Diseases,disease caused by infection of pathogenic biological agents in a host organism,Medicine,Health Sciences,1643891,22807566
subfields/3317,Demography,science that deals with populations and their structures statistically and theoretically,Social Sciences,Social Sciences,1638358,5902524
subfields/2403,Immunology,branch of medicine studying the immune system,Immunology and Microbiology,Life Sciences,1635421,34577787
subfields/1207,History and Philosophy of Science,academic discipline,Arts and Humanities,Social Sciences,1611657,3802293
subfields/2312,Water Science and Technology,emphasis of groundwater and surface water in the understanding of water resource systems,Environmental Science,Physical Sciences,1584236,14940619
subfields/2105,"Renewable Energy, Sustainability and the Environment",energy collected from renewable resources,Energy,Physical Sciences,1572451,25191449
subfields/1212,Religious studies,objective study of religion,Arts and Humanities,Social Sciences,1549800,2109703
subfields/1703,Computational Theory and Mathematics,area of mathematics,Computer Science,Physical Sciences,1540424,16367546
subfields/1803,Management Science and Operations Research,study of problem-solving in human organizations,Decision Sciences,Social Sciences,1490369,16719845
subfields/1304,Biophysics,study of biological systems using methods from the physical sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,1481529,4442562
